timestamp,function,elapsed_time(ms)
270910539,ORBextractor_ExtractORB_ComputePyramid,0.876042
270910546,ORBextractor_ExtractORB_ComputeKeyPointsOctTree,6.866667
270910553,ORBextractor_ExtractORB_computeDescriptors,6.295312
270910553,Frame_Frame_ExtractORB,14.172396
270910553,Tracking_GrabImageMonocular_Frame,14.709375
270910553,Tracking_Track_PreintegrateIMU,0.059896
270910554,Tracking_GrabImageMonocular_Track,0.734375
270910554,System_TrackMonocular_GrabImageMonocular,15.656771
270910554,System_TrackMonocular,16.648958
270910561,ORBextractor_ExtractORB_ComputePyramid,0.845834
270910567,ORBextractor_ExtractORB_ComputeKeyPointsOctTree,6.551042
270910574,ORBextractor_ExtractORB_computeDescriptors,6.200521
270910574,Frame_Frame_ExtractORB,13.740625
270910574,Tracking_GrabImageMonocular_Frame,14.253125
270910574,Tracking_Track_PreintegrateIMU,0.058854
270910593,Tracking_GrabImageMonocular_Track,18.471354
270910593,System_TrackMonocular_GrabImageMonocular,32.965104
270910593,System_TrackMonocular,33.960937
270910599,ORBextractor_ExtractORB_ComputePyramid,0.840104
270910605,ORBextractor_ExtractORB_ComputeKeyPointsOctTree,6.314583
270910612,ORBextractor_ExtractORB_computeDescriptors,6.895313
270910612,Frame_Frame_ExtractORB,14.195833
270910613,Tracking_GrabImageMonocular_Frame,14.777604
270910613,Tracking_Track_PreintegrateIMU,0.067708
270910631,Tracking_GrabImageMonocular_Track,18.305730
270910631,System_TrackMonocular_GrabImageMonocular,33.381770
270910631,System_TrackMonocular,34.344792
270910639,ORBextractor_ExtractORB_ComputePyramid,0.879688
270910646,ORBextractor_ExtractORB_ComputeKeyPointsOctTree,6.894271
270910652,ORBextractor_ExtractORB_computeDescriptors,6.420312
270910652,Frame_Frame_ExtractORB,14.344271
270910653,Tracking_GrabImageMonocular_Frame,14.880208
270910653,Tracking_Track_PreintegrateIMU,0.061979
270910670,Tracking_GrabImageMonocular_Track,17.559896
270910670,System_TrackMonocular_GrabImageMonocular,33.018750
270910670,System_TrackMonocular,34.202083
270910679,ORBextractor_ExtractORB_ComputePyramid,0.889584
270910685,ORBextractor_ExtractORB_ComputeKeyPointsOctTree,6.350000
270910692,ORBextractor_ExtractORB_computeDescriptors,6.734896
270910692,Frame_Frame_ExtractORB,14.128125
270910693,Tracking_GrabImageMonocular_Frame,14.673958
270910693,Tracking_Track_PreintegrateIMU,0.064062
270910710,Tracking_GrabImageMonocular_Track,17.108854
270910710,System_TrackMonocular_GrabImageMonocular,32.120312
270910710,System_TrackMonocular,34.478125
270910717,ORBextractor_ExtractORB_ComputePyramid,0.864584
270910724,ORBextractor_ExtractORB_ComputeKeyPointsOctTree,6.675000
270910730,ORBextractor_ExtractORB_computeDescriptors,6.068229
270910730,Frame_Frame_ExtractORB,13.747917
270910731,Tracking_GrabImageMonocular_Frame,14.275521
270910731,Tracking_Track_PreintegrateIMU,0.066667
270910747,Tracking_GrabImageMonocular_Track,15.807812
270910747,System_TrackMonocular_GrabImageMonocular,30.339063
270910747,System_TrackMonocular,31.440625
270910753,ORBextractor_ExtractORB_ComputePyramid,0.956771
270910760,ORBextractor_ExtractORB_ComputeKeyPointsOctTree,6.691145
270910766,ORBextractor_ExtractORB_computeDescriptors,6.216667
270910766,Frame_Frame_ExtractORB,13.991146
270910767,Tracking_GrabImageMonocular_Frame,14.515104
270910767,Tracking_Track_PreintegrateIMU,0.063542
270910783,Tracking_GrabImageMonocular_Track,15.895313
270910783,System_TrackMonocular_GrabImageMonocular,30.844791
270910783,System_TrackMonocular,31.906771
270910793,ORBextractor_ExtractORB_ComputePyramid,0.909375
270910799,ORBextractor_ExtractORB_ComputeKeyPointsOctTree,6.312500
270910806,ORBextractor_ExtractORB_computeDescriptors,6.594271
270910806,Frame_Frame_ExtractORB,13.964062
270910807,Tracking_GrabImageMonocular_Frame,14.511980
270910807,Tracking_Track_PreintegrateIMU,0.066146
270910824,Tracking_GrabImageMonocular_Track,17.415104
270910824,System_TrackMonocular_GrabImageMonocular,32.491146
270910824,System_TrackMonocular,36.637500
270910831,ORBextractor_ExtractORB_ComputePyramid,0.856771
270910836,ORBextractor_ExtractORB_ComputeKeyPointsOctTree,5.781771
270910843,ORBextractor_ExtractORB_computeDescriptors,6.666666
270910843,Frame_Frame_ExtractORB,13.541146
270910844,Tracking_GrabImageMonocular_Frame,14.047916
270910844,Tracking_Track_PreintegrateIMU,0.107292
270910852,Tracking_GrabImageMonocular_Track,8.403125
270910852,System_TrackMonocular_GrabImageMonocular,22.688021
270910852,System_TrackMonocular,23.751562
270910860,ORBextractor_ExtractORB_ComputePyramid,0.890625
270910865,ORBextractor_ExtractORB_ComputeKeyPointsOctTree,5.429688
270910871,ORBextractor_ExtractORB_computeDescriptors,5.697917
270910871,Frame_Frame_ExtractORB,12.122396
270910872,Tracking_GrabImageMonocular_Frame,12.603125
270910872,Tracking_Track_PreintegrateIMU,0.054688
270910872,Tracking_GrabImageMonocular_Track,0.665625
270910872,System_TrackMonocular_GrabImageMonocular,13.473959
270910872,System_TrackMonocular,14.403646
270910895,ORBextractor_ExtractORB_ComputePyramid,0.820833
270910901,ORBextractor_ExtractORB_ComputeKeyPointsOctTree,5.401041
270910907,ORBextractor_ExtractORB_computeDescriptors,5.905208
270910907,Frame_Frame_ExtractORB,12.283855
270910907,Tracking_GrabImageMonocular_Frame,12.797917
270910907,Tracking_Track_PreintegrateIMU,0.066667
270910920,Tracking_GrabImageMonocular_Track,12.751563
270910920,System_TrackMonocular_GrabImageMonocular,25.800521
270910920,System_TrackMonocular,26.660416
270910932,ORBextractor_ExtractORB_ComputePyramid,1.125521
270910939,ORBextractor_ExtractORB_ComputeKeyPointsOctTree,7.322917
270910946,ORBextractor_ExtractORB_computeDescriptors,6.866146
270910946,Frame_Frame_ExtractORB,15.465625
270910947,Tracking_GrabImageMonocular_Frame,16.057292
270910947,Tracking_Track_PreintegrateIMU,0.078125
270910960,Tracking_GrabImageMonocular_Track,13.083333
270910960,System_TrackMonocular_GrabImageMonocular,29.724479
270910960,System_TrackMonocular,30.951563
270910973,ORBextractor_ExtractORB_ComputePyramid,1.379688
270910981,ORBextractor_ExtractORB_ComputeKeyPointsOctTree,7.343750
270910988,ORBextractor_ExtractORB_computeDescriptors,7.793750
270910988,Frame_Frame_ExtractORB,16.671354
270910989,Tracking_GrabImageMonocular_Frame,17.294791
270910989,Tracking_Track_PreintegrateIMU,0.079167
270911003,Tracking_GrabImageMonocular_Track,13.730729
270911003,System_TrackMonocular_GrabImageMonocular,31.543750
270911003,System_TrackMonocular,35.922396
270911013,ORBextractor_ExtractORB_ComputePyramid,1.072917
270911020,ORBextractor_ExtractORB_ComputeKeyPointsOctTree,6.458854
270911027,ORBextractor_ExtractORB_computeDescriptors,7.289062
270911027,Frame_Frame_ExtractORB,14.972917
270911028,Tracking_GrabImageMonocular_Frame,15.528125
270911028,Tracking_Track_PreintegrateIMU,0.071875
270911033,Tracking_GrabImageMonocular_Track,5.820313
270911033,System_TrackMonocular_GrabImageMonocular,21.623958
270911033,System_TrackMonocular,23.100521
270911041,ORBextractor_ExtractORB_ComputePyramid,1.068750
270911047,ORBextractor_ExtractORB_ComputeKeyPointsOctTree,6.198958
270911055,ORBextractor_ExtractORB_computeDescriptors,7.364063
270911055,Frame_Frame_ExtractORB,14.797916
270911055,Tracking_GrabImageMonocular_Frame,15.325000
270911055,Tracking_Track_PreintegrateIMU,0.067708
270911056,Tracking_GrabImageMonocular_Track,0.753646
270911056,System_TrackMonocular_GrabImageMonocular,16.420833
270911056,System_TrackMonocular,17.823438
270911064,ORBextractor_ExtractORB_ComputePyramid,1.012500
270911070,ORBextractor_ExtractORB_ComputeKeyPointsOctTree,5.602084
270911077,ORBextractor_ExtractORB_computeDescriptors,6.685938
270911077,Frame_Frame_ExtractORB,13.428125
270911077,Tracking_GrabImageMonocular_Frame,13.878646
270911077,Tracking_Track_PreintegrateIMU,0.068230
270911095,Tracking_GrabImageMonocular_Track,17.522917
270911095,System_TrackMonocular_GrabImageMonocular,31.946355
270911095,System_TrackMonocular,33.410417
270911101,ORBextractor_ExtractORB_ComputePyramid,0.920313
270911107,ORBextractor_ExtractORB_ComputeKeyPointsOctTree,5.457291
270911113,ORBextractor_ExtractORB_computeDescriptors,6.643229
270911113,Frame_Frame_ExtractORB,13.136458
270911114,Tracking_GrabImageMonocular_Frame,13.606250
270911114,Tracking_Track_PreintegrateIMU,0.070834
270911136,Tracking_GrabImageMonocular_Track,21.898438
